,ref time,time,usage,Unnamed: 4
0,2022-02-03 T11:30:00Z,2022-02-03 T11:37:56Z,0,
1,2022-02-03 T11:30:00Z,2022-02-03 T11:38:06Z,0,
2,2022-02-03 T11:30:00Z,2022-02-03 T11:38:29Z,0,
3,2022-02-03 T11:30:00Z,2022-02-03 T11:38:39Z,0,
4,2022-02-03 T11:30:00Z,2022-02-03 T11:38:50Z,0,
5,2022-02-03 T11:30:00Z,2022-02-03 T11:39:00Z,0,
6,2022-02-03 T11:30:00Z,2022-02-03 T11:39:11Z,0,
7,2022-02-03 T11:45:00Z,2022-02-03 T11:48:14Z,0,
8,2022-02-03 T11:45:00Z,2022-02-03 T11:48:25Z,0,
9,2022-02-03 T11:45:00Z,2022-02-03 T11:48:35Z,0,
10,2022-02-03 T11:45:00Z,2022-02-03 T11:48:46Z,0,
11,2022-02-03 T11:45:00Z,2022-02-03 T11:48:56Z,0,
12,2022-02-03 T11:45:00Z,2022-02-03 T11:49:22Z,0,
13,2022-02-03 T11:45:00Z,2022-02-03 T11:49:47Z,0,
14,2022-02-03 T11:45:00Z,2022-02-03 T11:49:57Z,0,
15,2022-02-03 T11:45:00Z,2022-02-03 T11:50:07Z,0,
16,2022-02-03 T11:45:00Z,2022-02-03 T11:50:18Z,0,
17,2022-02-03 T11:45:00Z,2022-02-03 T11:50:28Z,0,
18,2022-02-03 T11:45:00Z,2022-02-03 T11:50:24Z,0,
19,2022-02-03 T11:45:00Z,2022-02-03 T11:50:49Z,0,
20,2022-02-03 T11:45:00Z,2022-02-03 T11:50:59Z,0,
21,2022-02-03 T11:45:00Z,2022-02-03 T11:51:10Z,0,
22,2022-02-03 T11:45:00Z,2022-02-03 T11:51:20Z,0,
23,2022-02-03 T11:45:00Z,2022-02-03 T11:51:31Z,0,
24,2022-02-03 T11:45:00Z,2022-02-03 T11:51:41Z,0,
25,2022-02-03 T11:45:00Z,2022-02-03 T11:51:51Z,0,
26,2022-02-03 T11:45:00Z,2022-02-03 T11:52:02Z,0,
27,2022-02-03 T11:45:00Z,2022-02-03 T11:52:12Z,0,
28,2022-02-03 T11:45:00Z,2022-02-03 T11:52:08Z,0,
29,2022-02-03 T11:45:00Z,2022-02-03 T11:52:19Z,0,
30,2022-02-03 T11:45:00Z,2022-02-03 T11:52:43Z,0,
31,2022-02-03 T11:45:00Z,2022-02-03 T11:52:54Z,0,
32,2022-02-03 T11:45:00Z,2022-02-03 T11:53:04Z,0,
33,2022-02-03 T11:45:00Z,2022-02-03 T11:53:14Z,0,
34,2022-02-03 T11:45:00Z,2022-02-03 T11:53:25Z,0,
35,2022-02-03 T11:45:00Z,2022-02-03 T11:53:35Z,0,
36,2022-02-03 T11:45:00Z,2022-02-03 T11:53:46Z,0,
37,2022-02-03 T11:45:00Z,2022-02-03 T11:53:56Z,0,
38,2022-02-03 T11:45:00Z,2022-02-03 T11:54:06Z,0,
39,2022-02-03 T11:45:00Z,2022-02-03 T11:54:17Z,0,
40,2022-02-03 T11:45:00Z,2022-02-03 T11:54:27Z,0,
41,2022-02-03 T11:45:00Z,2022-02-03 T11:54:38Z,0,
